ts,open,high,low,close,volume
2026-07-18T18:00:00+00:00,571.39,572.74,570.35,570.61,2714.364
2026-07-18T19:00:00+00:00,570.62,571.46,570.41,570.64,973.133
2026-07-18T20:00:00+00:00,570.65,572.22,570.5,571.44,985.435
2026-07-18T21:00:00+00:00,571.45,572.5,570.09,570.82,1935.412
2026-07-18T22:00:00+00:00,570.83,571.46,569.8,570.3,1551.949
2026-07-18T23:00:00+00:00,570.31,571.22,569.66,570.65,1203.492
2026-07-19T00:00:00+00:00,570.66,571.6,570.65,571.1,1476.14
2026-07-19T01:00:00+00:00,571.1,571.11,570.24,570.59,1600.172
2026-07-19T02:00:00+00:00,570.59,572.61,570.56,571.07,2652.42
2026-07-19T03:00:00+00:00,571.07,571.2,568.7,569.15,2541.737
2026-07-19T04:00:00+00:00,569.15,569.37,567.31,568.85,3385.038
2026-07-19T05:00:00+00:00,568.84,569.41,568.59,568.84,2664.629
2026-07-19T06:00:00+00:00,568.84,569.24,568.58,569.24,1200.696
2026-07-19T07:00:00+00:00,569.24,569.68,568.64,569.04,1401.83
2026-07-19T08:00:00+00:00,569.05,569.51,568.49,568.64,6978.984
2026-07-19T09:00:00+00:00,568.65,568.75,567.13,568.03,3052.263
2026-07-19T10:00:00+00:00,568.02,569.03,567.51,568.25,1750.912
2026-07-19T11:00:00+00:00,568.26,570.0,567.78,568.01,3109.556
2026-07-19T12:00:00+00:00,568.01,568.02,567.0,568.02,2308.499
2026-07-19T13:00:00+00:00,568.03,568.34,567.15,568.34,1392.459
2026-07-19T14:00:00+00:00,568.34,570.04,567.7,569.76,1885.134
2026-07-19T15:00:00+00:00,569.76,570.96,569.41,570.16,1829.42
2026-07-19T16:00:00+00:00,570.16,570.47,568.21,568.4,1926.508
2026-07-19T17:00:00+00:00,568.4,569.77,567.03,568.36,2687.083
2026-07-19T18:00:00+00:00,568.36,568.41,566.33,567.46,3090.038
2026-07-19T19:00:00+00:00,567.47,568.16,566.85,568.15,685.565
2026-07-19T20:00:00+00:00,568.16,569.79,568.16,569.78,703.383
2026-07-19T21:00:00+00:00,569.79,569.92,568.0,568.65,963.473
2026-07-19T22:00:00+00:00,568.65,571.75,568.33,570.72,3870.051
2026-07-19T23:00:00+00:00,570.73,571.75,569.95,571.06,1941.213
2026-07-20T00:00:00+00:00,571.06,573.94,568.4,569.34,6414.596
2026-07-20T01:00:00+00:00,569.35,572.75,568.23,569.01,3207.321
2026-07-20T02:00:00+00:00,569.01,571.64,568.7,570.39,2604.943
2026-07-20T03:00:00+00:00,570.39,571.0,569.12,570.13,2959.417
2026-07-20T04:00:00+00:00,570.13,570.23,567.41,567.42,3171.083
2026-07-20T05:00:00+00:00,567.42,567.63,564.0,565.3,5685.561
2026-07-20T06:00:00+00:00,565.31,565.79,562.97,564.48,4184.214
2026-07-20T07:00:00+00:00,564.49,566.86,563.9,566.69,3034.539
