ts,open,high,low,close,volume
2026-07-18T18:00:00+00:00,75.36,75.67,75.18,75.29,60282.568
2026-07-18T19:00:00+00:00,75.28,75.45,75.23,75.44,15936.112
2026-07-18T20:00:00+00:00,75.45,75.58,75.34,75.47,21091.681
2026-07-18T21:00:00+00:00,75.47,75.64,75.35,75.49,26048.578
2026-07-18T22:00:00+00:00,75.48,75.61,75.39,75.57,30048.334
2026-07-18T23:00:00+00:00,75.57,75.6,75.4,75.52,16462.658
2026-07-19T00:00:00+00:00,75.53,75.68,75.45,75.63,27362.288
2026-07-19T01:00:00+00:00,75.64,75.74,75.51,75.68,78324.542
2026-07-19T02:00:00+00:00,75.68,76.57,75.67,76.21,114697.438
2026-07-19T03:00:00+00:00,76.2,76.45,75.81,75.96,43953.325
2026-07-19T04:00:00+00:00,75.95,76.08,75.74,76.0,29404.94
2026-07-19T05:00:00+00:00,76.01,76.1,75.9,75.97,21801.019
2026-07-19T06:00:00+00:00,75.98,76.17,75.95,76.11,80281.405
2026-07-19T07:00:00+00:00,76.12,76.34,76.01,76.14,72095.721
2026-07-19T08:00:00+00:00,76.14,76.38,76.08,76.28,57040.779
2026-07-19T09:00:00+00:00,76.28,76.31,75.93,75.99,33880.786
2026-07-19T10:00:00+00:00,75.99,76.53,75.9,76.26,35511.587
2026-07-19T11:00:00+00:00,76.26,76.41,76.04,76.06,45535.162
2026-07-19T12:00:00+00:00,76.07,76.18,75.76,76.01,60224.9
2026-07-19T13:00:00+00:00,76.02,76.15,75.88,76.12,34585.477
2026-07-19T14:00:00+00:00,76.12,76.7,76.05,76.43,57378.977
2026-07-19T15:00:00+00:00,76.43,76.48,76.08,76.21,32607.67
2026-07-19T16:00:00+00:00,76.22,76.29,75.87,75.92,31299.014
2026-07-19T17:00:00+00:00,75.92,76.23,75.59,75.97,64127.531
2026-07-19T18:00:00+00:00,75.96,75.98,75.37,75.75,56509.702
2026-07-19T19:00:00+00:00,75.76,75.89,75.63,75.88,25324.55
2026-07-19T20:00:00+00:00,75.89,76.15,75.87,76.14,27280.973
2026-07-19T21:00:00+00:00,76.14,76.24,75.71,75.78,34537.465
2026-07-19T22:00:00+00:00,75.78,76.42,75.63,76.1,60392.259
2026-07-19T23:00:00+00:00,76.1,76.57,75.88,76.38,52752.936
2026-07-20T00:00:00+00:00,76.38,77.12,76.13,76.57,142220.375
2026-07-20T01:00:00+00:00,76.57,77.4,76.29,76.39,94828.463
2026-07-20T02:00:00+00:00,76.39,77.2,76.37,76.98,57997.619
2026-07-20T03:00:00+00:00,76.98,77.09,76.54,76.76,35865.163
2026-07-20T04:00:00+00:00,76.76,76.95,76.3,76.46,41790.909
2026-07-20T05:00:00+00:00,76.46,76.5,75.78,75.92,76866.319
2026-07-20T06:00:00+00:00,75.93,76.05,75.5,75.64,78138.127
2026-07-20T07:00:00+00:00,75.64,76.25,75.54,76.22,57291.587
2026-07-20T08:00:00+00:00,76.22,76.44,75.9,76.15,73433.359
2026-07-20T09:00:00+00:00,76.16,76.75,76.08,76.47,64685.31
2026-07-20T10:00:00+00:00,76.47,76.69,76.34,76.34,32489.468
2026-07-20T11:00:00+00:00,76.35,77.24,76.31,77.14,112096.924
2026-07-20T12:00:00+00:00,77.14,77.15,76.67,76.75,67140.685
2026-07-20T13:00:00+00:00,76.75,77.14,76.14,76.29,91294.785
2026-07-20T14:00:00+00:00,76.29,76.47,75.79,76.15,111307.298
2026-07-20T15:00:00+00:00,76.16,77.92,76.11,77.76,195124.762
2026-07-20T16:00:00+00:00,77.77,77.88,77.45,77.66,94822.624
2026-07-20T17:00:00+00:00,77.66,77.91,77.36,77.74,65988.757
2026-07-20T18:00:00+00:00,77.75,78.38,77.6,77.67,141524.468
2026-07-20T19:00:00+00:00,77.66,77.73,77.29,77.63,87186.553
2026-07-20T20:00:00+00:00,77.64,78.05,77.54,77.88,46134.858
2026-07-20T21:00:00+00:00,77.88,78.03,77.74,77.74,44662.496
2026-07-20T22:00:00+00:00,77.74,77.84,77.44,77.44,31402.732
2026-07-20T23:00:00+00:00,77.44,77.89,77.43,77.85,22907.21
2026-07-21T00:00:00+00:00,77.85,78.29,77.75,78.12,41708.877
2026-07-21T01:00:00+00:00,78.11,78.22,77.83,77.84,36842.283
2026-07-21T02:00:00+00:00,77.84,78.25,77.66,78.02,24413.716
2026-07-21T03:00:00+00:00,78.03,78.55,78.02,78.19,56817.038
2026-07-21T04:00:00+00:00,78.2,78.39,78.02,78.13,59952.528
2026-07-21T05:00:00+00:00,78.12,78.67,78.11,78.45,53244.592
2026-07-21T06:00:00+00:00,78.46,78.88,78.3,78.67,76914.703
2026-07-21T07:00:00+00:00,78.67,78.75,78.48,78.56,63730.428
2026-07-21T08:00:00+00:00,78.57,78.75,78.34,78.36,80898.654
2026-07-21T09:00:00+00:00,78.37,78.51,78.15,78.43,54285.509
2026-07-21T10:00:00+00:00,78.43,78.49,78.07,78.22,53365.371
2026-07-21T11:00:00+00:00,78.22,78.43,78.1,78.36,49535.421
2026-07-21T12:00:00+00:00,78.36,78.55,78.27,78.52,48335.769
2026-07-21T13:00:00+00:00,78.53,78.64,78.21,78.58,66463.229
2026-07-21T14:00:00+00:00,78.58,78.64,77.9,78.0,130101.208
2026-07-21T15:00:00+00:00,78.01,78.16,77.79,78.14,80428.601
2026-07-21T16:00:00+00:00,78.15,78.25,77.97,78.19,38634.786
2026-07-21T17:00:00+00:00,78.2,78.24,77.42,77.72,70521.68
2026-07-21T18:00:00+00:00,77.72,78.0,77.6,77.85,30551.99
2026-07-21T19:00:00+00:00,77.86,78.0,77.71,77.87,46450.926
2026-07-21T20:00:00+00:00,77.86,78.11,77.8,77.91,31742.751
2026-07-21T21:00:00+00:00,77.9,78.14,77.8,78.05,38934.849
2026-07-21T22:00:00+00:00,78.04,78.06,77.85,78.0,23978.2
2026-07-21T23:00:00+00:00,77.99,78.2,77.81,78.12,25708.211
2026-07-22T00:00:00+00:00,78.13,78.59,78.11,78.46,51416.658
2026-07-22T01:00:00+00:00,78.45,78.52,78.15,78.34,40447.471
2026-07-22T02:00:00+00:00,78.35,78.51,78.09,78.13,33521.628
2026-07-22T03:00:00+00:00,78.12,78.24,77.81,77.87,29868.791
2026-07-22T04:00:00+00:00,77.87,78.23,77.83,78.06,78686.964
2026-07-22T05:00:00+00:00,78.06,78.08,77.41,77.43,84324.565
2026-07-22T06:00:00+00:00,77.43,77.5,77.01,77.29,80790.306
2026-07-22T07:00:00+00:00,77.3,77.32,77.0,77.1,49497.98
2026-07-22T08:00:00+00:00,77.11,77.52,77.06,77.43,49938.799
2026-07-22T09:00:00+00:00,77.43,77.59,77.29,77.55,43825.045
2026-07-22T10:00:00+00:00,77.56,77.74,77.45,77.68,53474.894
2026-07-22T11:00:00+00:00,77.68,77.82,77.48,77.56,56884.383
2026-07-22T12:00:00+00:00,77.56,77.57,77.02,77.24,57718.29
2026-07-22T13:00:00+00:00,77.24,77.95,77.14,77.87,96044.938
2026-07-22T14:00:00+00:00,77.87,78.47,77.4,77.9,99355.583
2026-07-22T15:00:00+00:00,77.9,78.85,77.9,78.47,120444.674
2026-07-22T16:00:00+00:00,78.46,78.81,78.1,78.58,76423.852
2026-07-22T17:00:00+00:00,78.57,78.65,78.15,78.21,46544.136
2026-07-22T18:00:00+00:00,78.22,78.29,77.46,77.74,73601.436
2026-07-22T19:00:00+00:00,77.75,77.81,77.31,77.66,50840.721
2026-07-22T20:00:00+00:00,77.66,77.96,77.58,77.8,38686.561
2026-07-22T21:00:00+00:00,77.8,78.08,77.68,78.02,24815.506
2026-07-22T22:00:00+00:00,78.02,78.12,77.7,78.01,57888.023
2026-07-22T23:00:00+00:00,78.01,78.03,77.5,77.97,29610.969
2026-07-23T00:00:00+00:00,77.97,78.54,77.97,78.27,81695.101
2026-07-23T01:00:00+00:00,78.27,78.41,77.87,77.9,36815.184
2026-07-23T02:00:00+00:00,77.9,77.9,77.4,77.76,58028.588
2026-07-23T03:00:00+00:00,77.76,77.79,77.47,77.6,24067.664
2026-07-23T04:00:00+00:00,77.6,77.83,77.38,77.53,50125.411
2026-07-23T05:00:00+00:00,77.53,77.72,77.4,77.53,31751.764
2026-07-23T06:00:00+00:00,77.53,77.59,77.37,77.57,41875.877
2026-07-23T07:00:00+00:00,77.58,77.58,77.04,77.16,80186.86
2026-07-23T08:00:00+00:00,77.16,77.5,77.11,77.47,28996.01
2026-07-23T09:00:00+00:00,77.47,77.65,77.4,77.49,28715.223
2026-07-23T10:00:00+00:00,77.49,77.81,77.43,77.74,27480.233
2026-07-23T11:00:00+00:00,77.75,77.87,77.57,77.67,54206.688
2026-07-23T12:00:00+00:00,77.67,77.74,76.5,76.94,145824.703
2026-07-23T13:00:00+00:00,76.94,77.05,76.57,76.7,106880.049
2026-07-23T14:00:00+00:00,76.7,76.89,76.34,76.43,74047.135
2026-07-23T15:00:00+00:00,76.44,76.45,75.86,76.39,115003.15
2026-07-23T16:00:00+00:00,76.39,76.39,75.83,76.01,53233.212
2026-07-23T17:00:00+00:00,76.0,76.17,75.47,75.65,61167.227
2026-07-23T18:00:00+00:00,75.65,75.85,75.56,75.81,38326.211
2026-07-23T19:00:00+00:00,75.81,75.85,75.43,75.75,46737.961
2026-07-23T20:00:00+00:00,75.74,76.18,75.71,76.12,30168.216
2026-07-23T21:00:00+00:00,76.12,76.28,75.92,76.05,39843.919
2026-07-23T22:00:00+00:00,76.05,76.25,75.86,76.19,36336.122
2026-07-23T23:00:00+00:00,76.19,76.26,75.87,75.88,55139.418
2026-07-24T00:00:00+00:00,75.88,75.9,75.53,75.82,43222.255
2026-07-24T01:00:00+00:00,75.83,76.13,75.66,75.7,42561.101
2026-07-24T02:00:00+00:00,75.7,75.92,75.3,75.53,46804.634
2026-07-24T03:00:00+00:00,75.54,75.96,75.48,75.83,37385.314
2026-07-24T04:00:00+00:00,75.84,75.86,75.6,75.66,24433.568
2026-07-24T05:00:00+00:00,75.66,75.92,75.59,75.8,41435.771
2026-07-24T06:00:00+00:00,75.8,76.02,75.73,75.85,26210.683
2026-07-24T07:00:00+00:00,75.85,76.45,75.78,76.07,63913.676
2026-07-24T08:00:00+00:00,76.08,76.11,75.71,75.78,44069.018
2026-07-24T09:00:00+00:00,75.78,75.83,75.36,75.62,97113.034
2026-07-24T10:00:00+00:00,75.62,75.65,75.38,75.49,43053.332
2026-07-24T11:00:00+00:00,75.49,75.51,74.97,75.2,76788.061
2026-07-24T12:00:00+00:00,75.2,75.3,74.81,74.86,49301.956
