ts,open,high,low,close,volume
2024-01-02,125.0,125.4813,124.9825,125.4638,1000000.0
2024-01-03,125.4638,126.4136,125.273,126.2218,1030000.0
2024-01-04,126.2218,126.6569,126.0829,126.5177,1060000.0
2024-01-05,126.5177,127.1344,126.4823,127.0988,1090000.0
2024-01-08,127.0988,128.1714,126.8879,127.959,1120000.0
2024-01-09,127.959,128.4477,127.8361,128.3245,1150000.0
2024-01-10,128.3245,129.002,128.2706,128.9478,1180000.0
2024-01-11,128.9478,130.0556,128.7157,129.8219,1210000.0
2024-01-12,129.8219,130.2708,129.7154,130.1641,1240000.0
2024-01-15,130.1641,130.8169,130.0912,130.7437,1270000.0
2024-01-16,130.7437,131.817,130.49,131.5618,1300000.0
2024-01-17,131.5618,131.925,131.4723,131.8353,1330000.0
2024-01-18,131.8353,132.448,131.743,132.3554,1360000.0
2024-01-19,132.3554,132.6095,132.085,132.339,1390000.0
2024-01-22,132.339,132.6609,132.2676,132.5893,1420000.0
2024-01-23,132.5893,133.2305,132.4779,133.1187,1450000.0
2024-01-24,133.1187,133.3796,132.8817,133.1426,1480000.0
2024-01-25,133.1426,133.5205,133.0893,133.4671,1000000.0
2024-01-26,133.4671,134.232,133.3363,134.1006,1030000.0
2024-01-29,134.1006,134.4656,133.8807,134.2454,1060000.0
2024-01-30,134.2454,134.7381,134.2105,134.7031,1090000.0
2024-01-31,134.7031,135.6234,134.5522,135.4717,1120000.0
2024-02-01,135.4717,135.9386,135.2685,135.735,1150000.0
2024-02-02,135.735,136.3087,135.7187,136.2924,1180000.0
2024-02-05,136.2924,137.3076,136.1206,137.1348,1210000.0
2024-02-06,137.1348,137.6193,136.9483,137.4324,1240000.0
2024-02-07,137.4324,137.9959,137.4297,137.9931,1270000.0
2024-02-08,137.9931,139.0057,137.7999,138.8114,1300000.0
2024-02-09,138.8114,139.223,138.642,139.0534,1330000.0
2024-02-12,139.0534,139.5691,139.0311,139.5468,1360000.0
2024-02-13,139.5468,140.5129,139.3319,140.2968,1390000.0
2024-02-14,140.2968,140.6238,140.1453,140.472,1420000.0
